d [mm],delta_d [mm],I [mV],delta_I [mV]
0,0.5,159.9,0.05
2,0.5,172.4,0.05
4,0.5,132,0.05
6,0.5,120.8,0.05
8,0.5,113,0.05
10,0.5,86.7,0.05
12,0.5,74.1,0.05
14,0.5,65.7,0.05
16,0.5,62.9,0.05
18,0.5,42.5,0.05
20,0.5,48.2,0.05
