d [mm],delta_d [mm],I [mV],delta_I [mV]
0,0.5,1122,0.5
2,0.5,544,0.5
4,0.5,258.4,0.05
6,0.5,180.9,0.05
8,0.5,164.5,0.05
10,0.5,142.7,0.05
12,0.5,136.6,0.05
14,0.5,125.5,0.05
16,0.5,96.2,0.05
18,0.5,50.2,0.05
20,0.5,40.5,0.05
22,0.5,20.5,0.05
