d [mm],delta_d [mm],I [mV],delta_I [mV]
0,0.5,2340,0.5
2,0.5,2223,0.5
4,0.5,2049,0.5
6,0.5,1032,0.5
8,0.5,340.2,0.05
10,0.5,126.3,0.05
12,0.5,50.2,0.05
14,0.5,27.2,0.05
16,0.5,5.4,0.05
18,0.5,0.2,0.05
20,0.5,-0.6,0.05
