theta [deg],delta_theta [deg],I [mV],delta_I [mV]
180,5,3737,100
195,5,3425,100
210,5,2698,100
225,5,2042,100
240,5,1705,100
255,5,1415,100
270,5,0.8,10
285,5,413,100
300,5,1298,100
315,5,1897,100
330,5,2125,100
345,5,3733,100
360,5,3642,100
375,5,3232,100
390,5,2738,100
405,5,1333,100
420,5,253.8,100
435,5,78.8,100
450,5,0.7,10
465,5,52.7,10
480,5,553,100
495,5,2645,100
510,5,2970,100
525,5,3628,100
540,5,3792,100
