d [mm],delta_d [mm],I [mV],delta_I [mV]
0,0.5,22.5,0.05
2,0.5,24.1,0.05
4,0.5,27.7,0.05
6,0.5,33.1,0.05
8,0.5,28.4,0.05
10,0.5,33.8,0.05
12,0.5,35.1,0.05
14,0.5,38.5,0.05
16,0.5,42.7,0.05
18,0.5,39.6,0.05
20,0.5,45.5,0.05
