d [mm],delta_d [mm],I [mV],delta_I [mV]
0,0.5,1158,0.5
2,0.5,1161,0.5
4,0.5,975,0.5
6,0.5,961,0.5
8,0.5,957,0.5
10,0.5,951,0.5
12,0.5,861,0.5
14,0.5,856,0.5
16,0.5,840,0.5
18,0.5,841,0.5
20,0.5,851,0.5
22,0.5,922,0.5
