d [mm],delta_d [mm],I [mV],delta_I [mV]
0,0.5,7.6,0.05
2,0.5,7.9,0.05
4,0.5,9.0,0.05
6,0.5,8.8,0.05
8,0.5,9.2,0.05
10,0.5,7.1,0.05
12,0.5,9.6,0.05
14,0.5,5.2,0.05
16,0.5,3.8,0.05
18,0.5,4.4,0.05
20,0.5,2.4,0.05
