theta [deg],dtheta [deg],I [mV],dI [mV]
20,0.5,22.5,0.05
21,0.5,25,0.05
22,0.5,32.6,0.05
23,0.5,42.7,0.05
24,0.5,45.7,0.05
25,0.5,36.7,0.05
26,0.5,42.3,0.05
27,0.5,49.4,0.05
28,0.5,59.1,0.05
29,0.5,107.5,0.05
30,0.5,137.1,0.05
31,0.5,145.9,0.05
32,0.5,124.1,0.05
33,0.5,86.1,0.05
34,0.5,73.2,0.05
35,0.5,49.6,0.05
36,0.5,31,0.05
37,0.5,22.4,0.05
38,0.5,16,0.05
39,0.5,2.2,0.05
40,0.5,-4.5,0.05
41,0.5,-5.4,0.05
42,0.5,6.6,0.05
43,0.5,42.3,0.05
44,0.5,81.8,0.05
45,0.5,80.5,0.05
46,0.5,151.4,0.05
47,0.5,181.2,0.05
48,0.5,284,0.5
49,0.5,404,0.5
50,0.5,531,0.5
51,0.5,1224,0.5
52,0.5,1820,5
53,0.5,2560,5
54,0.5,2990,5
55,0.5,2800,5
56,0.5,2560,5
57,0.5,1477,0.5
58,0.5,941,0.5
59,0.5,516,0.5
60,0.5,341,0.5
61,0.5,443,0.5
62,0.5,356,0.5
63,0.5,231,0.5
64,0.5,41.6,0.05
65,0.5,-3.8,0.05
66,0.5,19,0.05
67,0.5,81,0.05
68,0.5,159.6,0.05
69,0.5,105.8,0.05
70,0.5,19.5,0.05
71,0.5,6.3,0.05
72,0.5,47.2,0.05
73,0.5,85.4,0.05
74,0.5,76.5,0.05
75,0.5,36.8,0.05
76,0.5,22.6,0.05
77,0.5,34.3,0.05
78,0.5,82.5,0.05
79,0.5,126.6,0.05
80,0.5,199,0.5
81,0.5,268,0.5
82,0.5,277,0.5
83,0.5,341,0.5
84,0.5,376,0.5
85,0.5,418,0.5
86,0.5,467,0.5
87,0.5,523,0.5
88,0.5,574,0.5
89,0.5,561,0.5
90,0.5,523,0.5
