theta [deg],dtheta [deg],I [mV],dI [mV]
20,0.5,23.40,0.05
21,0.5,12.10,0.05
22,0.5,4.70,0.05
23,0.5,-1.00,0.05
24,0.5,-6.20,0.05
25,0.5,-9.50,0.05
26,0.5,-12.50,0.05
27,0.5,-12.70,0.05
28,0.5,-11.50,0.05
29,0.5,-6.50,0.05
30,0.5,3.50,0.05
31,0.5,10.60,0.05
32,0.5,14.10,0.05
33,0.5,15.30,0.05
34,0.5,20.60,0.05
35,0.5,21.10,0.05
36,0.5,29.90,0.05
37,0.5,40.60,0.05
38,0.5,78.10,0.05
39,0.5,162.00,0.5
40,0.5,293.00,
41,0.5,517.00,
42,0.5,637.00,
43,0.5,744.00,
44,0.5,731.00,
45,0.5,532.00,
46,0.5,331.00,
47,0.5,158.10,0.05
48,0.5,88.70,
49,0.5,39.50,
50,0.5,7.00,
51,0.5,9.10,
52,0.5,32.40,
53,0.5,36.40,
54,0.5,13.60,
55,0.5,-1.90,
56,0.5,-9.70,
57,0.5,-5.00,
58,0.5,-0.10,
59,0.5,60.40,
60,0.5,160.20,
61,0.5,345.00,0.5
62,0.5,602.00,0.5
63,0.5,645.00,0.5
64,0.5,671.00,0.5
65,0.5,752.00,0.5
66,0.5,564.00,0.5
67,0.5,426.00,0.5
68,0.5,416.00,0.5
69,0.5,596.00,0.5
70,0.5,851.00,0.5
71,0.5,1260.00,0.5
72,0.5,923.00,0.5
73,0.5,350.00,0.5
74,0.5,64.80,0.05
75,0.5,13.50,0.05
76,0.5,259.00,0.5
77,0.5,942.00,0.5
78,0.5,1614.00,0.5
79,0.5,1952.00,0.5
80,0.5,2100.00,5
81,0.5,2000.00,5
82,0.5,2390.00,5
83,0.5,3360.00,5
84,0.5,4760.00,5
85,0.5,5040.00,5
86,0.5,5040.00,5
87,0.5,5040.00,5
88,0.5,5040.00,5
89,0.5,5040.00,5
90,0.5,5040.00,5
