theta [deg],dtheta [deg],I [mV],dI [mV]
20,0.5,-1.9,0.05
21,0.5,8.5,0.05
22,0.5,22.7,0.05
23,0.5,32.4,0.05
24,0.5,33.7,0.05
25,0.5,28.1,0.05
26,0.5,18.6,0.05
27,0.5,6.4,0.05
28,0.5,-4.4,0.05
29,0.5,-11.1,0.05
30,0.5,-13.1,0.05
31,0.5,-13.6,0.05
32,0.5,-13.3,0.05
33,0.5,-13.2,0.05
34,0.5,-13.4,0.05
35,0.5,-13.1,0.05
36,0.5,-12.5,0.05
37,0.5,-11.8,0.05
38,0.5,-11.1,0.05
39,0.5,-10.6,0.05
40,0.5,-11.3,0.05
41,0.5,-12.4,0.05
42,0.5,-12.3,0.05
43,0.5,-11.5,0.05
44,0.5,-10.2,0.05
45,0.5,-8.6,0.05
46,0.5,-4,0.05
47,0.5,5.6,0.05
48,0.5,17.4,0.05
49,0.5,25.4,0.05
50,0.5,29.5,0.05
51,0.5,28.6,0.05
52,0.5,36.7,0.05
53,0.5,65.3,0.05
54,0.5,129.8,0.05
55,0.5,239.8,0.05
56,0.5,239,0.5
57,0.5,361,0.5
58,0.5,362,0.5
59,0.5,374,0.5
60,0.5,472,0.5
61,0.5,645,0.5
62,0.5,694,0.5
63,0.5,453,0.5
64,0.5,248,0.5
65,0.5,136.1,0.05
66,0.5,86.8,0.05
67,0.5,186.1,0.05
68,0.5,206,0.5
69,0.5,103.9,0.05
70,0.5,17.4,0.05
71,0.5,-9.9,0.05
72,0.5,30.4,0.05
73,0.5,103.6,0.05
74,0.5,135.5,0.05
75,0.5,172.4,0.05
76,0.5,1034,5
77,0.5,1612,5
78,0.5,2190,5
79,0.5,1820,5
80,0.5,3320,5
81,0.5,4540,5
82,0.5,4990,5
83,0.5,5040,5
84,0.5,5040,5
85,0.5,5040,5
86,0.5,5040,5
87,0.5,5040,5
88,0.5,5040,5
89,0.5,5040,5
90,0.5,5040,5
