V [V],dV [V],I [nA],dI [nA]
2,0.01,5,0.1
1.9,0.01,4.9,0.1
1.8,0.01,4.8,0.1
1.7,0.01,4.7,0.1
1.6,0.01,4.7,0.1
1.5,0.01,4.5,0.1
1.4,0.01,4.2,0.1
1.3,0.01,4.1,0.1
1.2,0.01,3.8,0.1
1.1,0.01,3.6,0.1
1,0.01,3.5,0.1
0.9,0.01,3.2,0.1
0.8,0.01,3.2,0.1
0.7,0.01,2.9,0.1
0.6,0.01,2.5,0.1
0.5,0.01,2.3,0.1
0.4,0.01,2.2,0.1
0.3,0.01,2.1,0.1
0.2,0.01,1.6,0.1
0.1,0.01,0.9,0.1
0,0.001,0.1,0.001
-0.067,0.001,0.001,0.001
