V [V],dV [V],I [nA],dI [nA]
2,0.01,5.6,0.1
1.9,0.01,5.4,0.1
1.8,0.01,5.3,0.1
1.702,0.01,5.2,0.1
1.602,0.01,5,0.1
1.502,0.01,4.8,0.1
1.4,0.01,4.5,0.1
1.301,0.01,4.3,0.1
1.2,0.01,4.1,0.1
1.1,0.01,3.8,0.1
1,0.01,3.55,0.1
0.901,0.01,3.3,0.1
0.8,0.01,3,0.1
0.7,0.01,2.7,0.1
0.6,0.01,2.4,0.1
0.5,0.01,2.1,0.1
0.401,0.01,1.5,0.1
0.301,0.01,1.1,0.1
0.201,0.01,0.8,0.1
0.1,0.01,0.4,0.1
0.07,0.001,0.3,0.1
0.05,0.001,0.2,0.1
0.012,0.001,0.1,0.1
-0.0063,0.001,0,0.1
