lambda [nm],dlambda [nm],theta [deg],I [nA],dI [nA],
466,0.1,12.97,1.32,0.05,
467,0.1,12.49,1.27,0.05,
468,0.1,12.62,1.29,0.05,
469,0.1,12.85,1.31,0.05,
470,0.1,12.56,1.28,0.05,
471,0.1,12.82,1.31,0.05,
472,0.1,12.71,1.30,0.05,
473,0.1,12.85,1.31,0.05,
474,0.1,13.04,1.33,0.05,
475,0.1,13.2,1.35,0.05,
476,0.1,13.47,1.37,0.05,
477,0.1,13.38,1.37,0.05,
478,0.1,13.32,1.36,0.05,
479,0.1,13.46,1.37,0.05,
480,0.1,13.28,1.36,0.05,
481,0.1,13.21,1.35,0.05,
482,0.1,16.42,1.68,0.05,
483,0.1,18.99,1.94,0.05,
484,0.1,15.65,1.60,0.05,
485,0.1,12.37,1.26,0.05,
486,0.1,12.29,1.25,0.05,
487,0.1,13.18,1.34,0.05,
488,0.1,12.35,1.26,0.05,
489,0.1,11.75,1.20,0.05,
490,0.1,11.57,1.18,0.05,
491,0.1,11.62,1.19,0.05,
492,0.1,11.58,1.18,0.05,
493,0.1,11.76,1.20,0.05,
494,0.1,11.91,1.22,0.05,
495,0.1,12.08,1.23,0.05,
496,0.1,11.77,1.20,0.05,
497,0.1,11.67,1.19,0.05,
498,0.1,11.67,1.19,0.05,
499,0.1,11.43,1.17,0.05,
500,0.1,11.59,1.18,0.05,
501,0.1,12.01,1.23,0.05,
502,0.1,11.54,1.18,0.05,
503,0.1,11.72,1.20,0.05,
504,0.1,11.74,1.20,0.05,
505,0.1,11.76,1.20,0.05,
506,0.1,11.66,1.19,0.05,
507,0.1,11.7,1.19,0.05,
508,0.1,11.64,1.19,0.05,
509,0.1,11.62,1.19,0.05,
510,0.1,11.7,1.19,0.05,
511,0.1,11.67,1.19,0.05,
512,0.1,11.7,1.19,0.05,
513,0.1,11.75,1.20,0.05,
514,0.1,11.93,1.22,0.05,
515,0.1,11.87,1.21,0.05,
516,0.1,12.13,1.24,0.05,
517,0.1,11.82,1.21,0.05,
518,0.1,11.81,1.21,0.05,
519,0.1,11.99,1.22,0.05,
520,0.1,11.89,1.21,0.05,
521,0.1,12.4,1.27,0.05,
522,0.1,12.43,1.27,0.05,
523,0.1,13.14,1.34,0.05,
524,0.1,13.35,1.36,0.05,
525,0.1,13.44,1.37,0.05,
526,0.1,13.74,1.40,0.05,
527,0.1,14.07,1.44,0.05,
528,0.1,14.94,1.52,0.05,
529,0.1,15.39,1.57,0.05,
530,0.1,15.86,1.62,0.05,
531,0.1,16.2,1.65,0.05,
532,0.1,17,1.73,0.05,
533,0.1,18.24,1.86,0.05,
534,0.1,19.08,1.95,0.05,
535,0.1,20.73,2.12,0.05,
536,0.1,30.33,3.09,0.05,
537,0.1,223.02,22.76,0.05,
538,0.1,226.05,23.07,0.05,
539,0.1,226.65,23.13,0.05,
540,0.1,218.52,22.30,0.05,
541,0.1,131.52,13.42,0.05,
542,0.1,32.44,3.31,0.05,
543,0.1,22.48,2.29,0.05,
544,0.1,18.91,1.93,0.05,
545,0.1,18.31,1.87,0.05,
546,0.1,15.9,1.62,0.05,
547,0.1,14.31,1.46,0.05,
548,0.1,13.59,1.39,0.05,
549,0.1,13.31,1.36,0.05,
550,0.1,12.82,1.31,0.05,
551,0.1,12.76,1.30,0.05,
552,0.1,12.58,1.28,0.05,
553,0.1,12.33,1.26,0.05,
554,0.1,12.36,1.26,0.05,
555,0.1,12.01,1.23,0.05,
556,0.1,11.8,1.20,0.05,
557,0.1,11.75,1.20,0.05,
558,0.1,11.71,1.19,0.05,
559,0.1,11.97,1.22,0.05,
560,0.1,11.87,1.21,0.05,
561,0.1,11.95,1.22,0.05,
562,0.1,12.01,1.23,0.05,
563,0.1,12.16,1.24,0.05,
564,0.1,12.56,1.28,0.05,
565,0.1,15.98,1.63,0.05,
566,0.1,23.17,2.36,0.05,
567,0.1,41.04,4.19,0.05,
568,0.1,215.37,21.98,0.05,
569,0.1,214.77,21.92,0.05,
570,0.1,215.19,21.96,0.05,
571,0.1,215.28,21.97,0.05,
572,0.1,44.6,4.55,0.05,
573,0.1,23.71,2.42,0.05,
574,0.1,17.1,1.74,0.05,
575,0.1,15.51,1.58,0.05,
576,0.1,13.18,1.34,0.05,
577,0.1,12.47,1.27,0.05,
578,0.1,12.31,1.26,0.05,
579,0.1,11.84,1.21,0.05,
580,0.1,11.22,1.14,0.05,
581,0.1,11.25,1.15,0.05,
582,0.1,10.73,1.09,0.05,
583,0.1,10.39,1.06,0.05,
584,0.1,10.26,1.05,0.05,
585,0.1,10.09,1.03,0.05,
586,0.1,9.71,0.99,0.05,
587,0.1,9.54,0.97,0.05,
588,0.1,9.41,0.96,0.05,
589,0.1,9.3,0.95,0.05,
590,0.1,9.1,0.93,0.05,
591,0.1,8.98,0.92,0.05,
592,0.1,8.89,0.91,0.05,
593,0.1,9.57,0.98,0.05,
594,0.1,8.78,0.90,0.05,
595,0.1,8.72,0.89,0.05,
596,0.1,8.57,0.87,0.05,
597,0.1,8.52,0.87,0.05,
598,0.1,8.43,0.86,0.05,
599,0.1,8.59,0.88,0.05,
600,0.1,8.44,0.86,0.05,
601,0.1,8.49,0.87,0.05,
602,0.1,8.25,0.84,0.05,
603,0.1,8.11,0.83,0.05,
604,0.1,8.11,0.83,0.05,
605,0.1,8.16,0.83,0.05,
606,0.1,8.06,0.82,0.05,
607,0.1,7.9,0.81,0.05,
608,0.1,8.06,0.82,0.05,
609,0.1,7.8,0.80,0.05,
610,0.1,7.99,0.82,0.05,
611,0.1,7.81,0.80,0.05,
612,0.1,7.87,0.80,0.05,
613,0.1,7.8,0.80,0.05,
