lambda [nm],dlambda [nm],theta [deg],I [nA],dI [nA],
466,0.1,85.74,9.03,0.05,
467,0.1,86.65,9.12,0.05,
468,0.1,87.62,9.22,0.05,
469,0.1,88.7,9.34,0.05,
470,0.1,87.29,9.19,0.05,
471,0.1,87.66,9.23,0.05,
472,0.1,85.44,8.99,0.05,
473,0.1,87.75,9.24,0.05,
474,0.1,89.64,9.44,0.05,
475,0.1,91.95,9.68,0.05,
476,0.1,105.93,11.15,0.05,
477,0.1,116.85,12.30,0.05,
478,0.1,118.08,12.43,0.05,
479,0.1,97.89,10.30,0.05,
480,0.1,87.24,9.18,0.05,
481,0.1,87.09,9.17,0.05,
482,0.1,97.89,10.30,0.05,
483,0.1,87.21,9.18,0.05,
484,0.1,87.09,9.17,0.05,
485,0.1,100.35,10.56,0.05,
486,0.1,100.62,10.59,0.05,
487,0.1,89.79,9.45,0.05,
488,0.1,87,9.16,0.05,
489,0.1,85.62,9.01,0.05,
490,0.1,86.43,9.10,0.05,
491,0.1,90.88,9.57,0.05,
492,0.1,86.8,9.14,0.05,
493,0.1,85.67,9.02,0.05,
494,0.1,82.2,8.65,0.05,
495,0.1,82.75,8.71,0.05,
496,0.1,83.63,8.80,0.05,
497,0.1,85.13,8.96,0.05,
498,0.1,86.21,9.07,0.05,
499,0.1,85.73,9.02,0.05,
500,0.1,84.88,8.93,0.05,
501,0.1,81.04,8.53,0.05,
502,0.1,80.35,8.46,0.05,
503,0.1,79.24,8.34,0.05,
504,0.1,79.02,8.32,0.05,
505,0.1,79.46,8.36,0.05,
506,0.1,80.42,8.47,0.05,
507,0.1,81.22,8.55,0.05,
508,0.1,81.35,8.56,0.05,
509,0.1,80.24,8.45,0.05,
510,0.1,79.6,8.38,0.05,
511,0.1,79.87,8.41,0.05,
512,0.1,80.49,8.47,0.05,
513,0.1,80.73,8.50,0.05,
514,0.1,78.91,8.31,0.05,
515,0.1,80.17,8.44,0.05,
516,0.1,81.41,8.57,0.05,
517,0.1,82.76,8.71,0.05,
518,0.1,82.6,8.69,0.05,
519,0.1,81.36,8.56,0.05,
520,0.1,81.3,8.56,0.05,
521,0.1,81.85,8.62,0.05,
522,0.1,82.38,8.67,0.05,
523,0.1,78.38,8.25,0.05,
524,0.1,78.52,8.27,0.05,
525,0.1,78.49,8.26,0.05,
526,0.1,78.87,8.30,0.05,
527,0.1,79.44,8.36,0.05,
528,0.1,79.47,8.37,0.05,
529,0.1,79.66,8.39,0.05,
530,0.1,79.99,8.42,0.05,
531,0.1,80.86,8.51,0.05,
532,0.1,81.34,8.56,0.05,
533,0.1,80.95,8.52,0.05,
534,0.1,80.22,8.44,0.05,
535,0.1,76.45,8.05,0.05,
536,0.1,76.49,8.05,0.05,
537,0.1,76.55,8.06,0.05,
538,0.1,76.42,8.04,0.05,
539,0.1,76.45,8.05,0.05,
540,0.1,77.09,8.11,0.05,
541,0.1,77.5,8.16,0.05,
542,0.1,77.88,8.20,0.05,
543,0.1,75.93,7.99,0.05,
