lambda [nm],dlambda [nm],theta [deg],I [nA],dI [nA],
424,0.1,31.69,10.02,0.05,
425,0.1,31.85,10.07,0.05,
426,0.1,30.68,9.70,0.05,
427,0.1,31.23,9.87,0.05,
428,0.1,31.7,10.02,0.05,
429,0.1,32.42,10.25,0.05,
430,0.1,32.2,10.18,0.05,
431,0.1,33.74,10.67,0.05,
432,0.1,32.92,10.41,0.05,
433,0.1,32.81,10.37,0.05,
434,0.1,33.22,10.50,0.05,
435,0.1,34.28,10.84,0.05,
436,0.1,34.5,10.91,0.05,
437,0.1,33.98,10.74,0.05,
438,0.1,32.97,10.42,0.05,
439,0.1,33.56,10.61,0.05,
440,0.1,34.67,10.96,0.05,
441,0.1,34.6,10.94,0.05,
442,0.1,33.7,10.65,0.05,
443,0.1,34.11,10.78,0.05,
444,0.1,34.21,10.81,0.05,
445,0.1,34.38,10.87,0.05,
446,0.1,35.14,11.11,0.05,
447,0.1,36.62,11.58,0.05,
448,0.1,38.49,12.17,0.05,
449,0.1,32.82,10.38,0.05,
450,0.1,32.66,10.32,0.05,
451,0.1,34.19,10.81,0.05,
452,0.1,36.12,11.42,0.05,
453,0.1,38.96,12.32,0.05,
454,0.1,35.26,11.15,0.05,
455,0.1,35.4,11.19,0.05,
456,0.1,35.03,11.07,0.05,
457,0.1,35.05,11.08,0.05,
458,0.1,35.11,11.10,0.05,
459,0.1,35,11.06,0.05,
460,0.1,34.17,10.80,0.05,
461,0.1,32.98,10.43,0.05,
462,0.1,34.23,10.82,0.05,
463,0.1,34.17,10.80,0.05,
464,0.1,32.06,10.13,0.05,
465,0.1,32.02,10.12,0.05,
466,0.1,31.73,10.03,0.05,
467,0.1,32.06,10.13,0.05,
468,0.1,32.19,10.18,0.05,
469,0.1,32.99,10.43,0.05,
470,0.1,33,10.43,0.05,
471,0.1,31.84,10.07,0.05,
472,0.1,32.2,10.18,0.05,
473,0.1,32.48,10.27,0.05,
474,0.1,33.7,10.65,0.05,
475,0.1,35.89,11.35,0.05,
476,0.1,38.28,12.10,0.05,
477,0.1,45.2,14.29,0.05,
478,0.1,42.48,13.43,0.05,
479,0.1,36.76,11.62,0.05,
480,0.1,34.37,10.87,0.05,
481,0.1,32.11,10.15,0.05,
482,0.1,32.39,10.24,0.05,
483,0.1,34.13,10.79,0.05,
484,0.1,39.75,12.57,0.05,
485,0.1,37.22,11.77,0.05,
486,0.1,32.88,10.39,0.05,
487,0.1,32.28,10.20,0.05,
488,0.1,33.23,10.50,0.05,
489,0.1,31.6,9.99,0.05,
490,0.1,34.17,10.80,0.05,
491,0.1,35.2,11.13,0.05,
492,0.1,33.29,10.52,0.05,
493,0.1,31.15,9.85,0.05,
494,0.1,30.89,9.77,0.05,
495,0.1,30.97,9.79,0.05,
496,0.1,31.01,9.80,0.05,
497,0.1,31.83,10.06,0.05,
498,0.1,32.13,10.16,0.05,
499,0.1,31.69,10.02,0.05,
500,0.1,30.97,9.79,0.05,
501,0.1,30.5,9.64,0.05,
502,0.1,30,9.48,0.05,
503,0.1,29.56,9.34,0.05,
504,0.1,29.18,9.22,0.05,
505,0.1,29.27,9.25,0.05,
506,0.1,29.43,9.30,0.05,
507,0.1,29.8,9.42,0.05,
508,0.1,30.06,9.50,0.05,
509,0.1,30.32,9.58,0.05,
510,0.1,29.95,9.47,0.05,
511,0.1,29.67,9.38,0.05,
512,0.1,30.1,9.52,0.05,
513,0.1,29.83,9.43,0.05,
514,0.1,29.18,9.22,0.05,
515,0.1,29.36,9.28,0.05,
516,0.1,30.09,9.51,0.05,
517,0.1,30.23,9.56,0.05,
518,0.1,31.05,9.82,0.05,
519,0.1,30.38,9.60,0.05,
520,0.1,29.86,9.44,0.05,
521,0.1,29.88,9.45,0.05,
522,0.1,29.87,9.44,0.05,
523,0.1,29.26,9.25,0.05,
524,0.1,29.3,9.26,0.05,
525,0.1,29.12,9.21,0.05,
526,0.1,28.89,9.13,0.05,
527,0.1,28.9,9.14,0.05,
528,0.1,29.08,9.19,0.05,
529,0.1,29.71,9.39,0.05,
530,0.1,29.99,9.48,0.05,
531,0.1,29.86,9.44,0.05,
532,0.1,30.91,9.77,0.05,
533,0.1,31.17,9.85,0.05,
534,0.1,29.28,9.26,0.05,
535,0.1,28.56,9.03,0.05,
536,0.1,27.94,8.83,0.05,
537,0.1,27.78,8.78,0.05,
538,0.1,27.78,8.78,0.05,
539,0.1,27.83,8.80,0.05,
540,0.1,27.99,8.85,0.05,
541,0.1,27.99,8.85,0.05,
542,0.1,28.44,8.99,0.05,
543,0.1,27.96,8.84,0.05,
544,0.1,27.96,8.84,0.05,
545,0.1,28.73,9.08,0.05,
546,0.1,29.22,9.24,0.05,
547,0.1,27.5,8.69,0.05,
548,0.1,26.5,8.38,0.05,
549,0.1,26.63,8.42,0.05,
550,0.1,27.33,8.64,0.05,
551,0.1,28.05,8.87,0.05,
552,0.1,28.11,8.89,0.05,
553,0.1,28.08,8.88,0.05,
554,0.1,27.48,8.69,0.05,
555,0.1,27.48,8.69,0.05,
556,0.1,27.56,8.71,0.05,
557,0.1,28.02,8.86,0.05,
558,0.1,28.09,8.88,0.05,
559,0.1,28.45,8.99,0.05,
560,0.1,29.69,9.39,0.05,
561,0.1,30.55,9.66,0.05,
562,0.1,30.11,9.52,0.05,
563,0.1,29.59,9.35,0.05,
564,0.1,31.66,10.01,0.05,
565,0.1,31.67,10.01,0.05,
566,0.1,30.48,9.64,0.05,
567,0.1,31.52,9.96,0.05,
568,0.1,32.73,10.35,0.05,
569,0.1,33.94,10.73,0.05,
570,0.1,33.54,10.60,0.05,
571,0.1,34.98,11.06,0.05,
572,0.1,37.93,11.99,0.05,
573,0.1,36.32,11.48,0.05,
574,0.1,34.31,10.85,0.05,
575,0.1,33.6,10.62,0.05,
576,0.1,31.01,9.80,0.05,
577,0.1,30.37,9.60,0.05,
578,0.1,30.66,9.69,0.05,
579,0.1,31.7,10.02,0.05,
580,0.1,33.79,10.68,0.05,
581,0.1,60.84,19.23,0.05,
582,0.1,67.45,21.32,0.05,
583,0.1,39.38,12.45,0.05,
584,0.1,33.39,10.56,0.05,
585,0.1,31.99,10.11,0.05,
586,0.1,30.57,9.66,0.05,
587,0.1,30.28,9.57,0.05,
588,0.1,30.84,9.75,0.05,
589,0.1,28.69,9.07,0.05,
590,0.1,27.62,8.73,0.05,
591,0.1,28.04,8.86,0.05,
592,0.1,28.52,9.02,0.05,
593,0.1,30.76,9.72,0.05,
594,0.1,28.47,9.00,0.05,
595,0.1,26.91,8.51,0.05,
596,0.1,25.47,8.05,0.05,
597,0.1,25.36,8.02,0.05,
598,0.1,25.74,8.14,0.05,
599,0.1,25.9,8.19,0.05,
600,0.1,25.88,8.18,0.05,
601,0.1,25.4,8.03,0.05,
602,0.1,24.75,7.82,0.05,
603,0.1,23.39,7.39,0.05,
604,0.1,24.64,7.79,0.05,
605,0.1,25.56,8.08,0.05,
606,0.1,23.41,7.40,0.05,
607,0.1,23.03,7.28,0.05,
608,0.1,23.18,7.33,0.05,
609,0.1,22.68,7.17,0.05,
610,0.1,22.53,7.12,0.05,
611,0.1,22.31,7.05,0.05,
612,0.1,22.41,7.08,0.05,
613,0.1,22.58,7.14,0.05,
614,0.1,22.57,7.13,0.05,
615,0.1,22.54,7.13,0.05,
616,0.1,22.39,7.08,0.05,
617,0.1,21.78,6.89,0.05,
618,0.1,21.9,6.92,0.05,
619,0.1,22.14,7.00,0.05,
620,0.1,21.99,6.95,0.05,
621,0.1,21.96,6.94,0.05,
622,0.1,22.02,6.96,0.05,
623,0.1,21.85,6.91,0.05,
624,0.1,21.84,6.90,0.05,
625,0.1,21.78,6.89,0.05,
626,0.1,21.9,6.92,0.05,
627,0.1,21.87,6.91,0.05,
628,0.1,21.79,6.89,0.05,
629,0.1,21.58,6.82,0.05,
630,0.1,21.54,6.81,0.05,
631,0.1,21.43,6.77,0.05,
632,0.1,21.93,6.93,0.05,
633,0.1,21.44,6.78,0.05,
634,0.1,21.41,6.77,0.05,
635,0.1,21.3,6.73,0.05,
636,0.1,21.3,6.73,0.05,
637,0.1,21.29,6.73,0.05,
638,0.1,21.4,6.77,0.05,
639,0.1,21.37,6.76,0.05,
640,0.1,21.36,6.75,0.05,
641,0.1,21.38,6.76,0.05,
642,0.1,21.47,6.79,0.05,
643,0.1,21.53,6.81,0.05,
644,0.1,21.65,6.84,0.05,
645,0.1,21.45,6.78,0.05,
646,0.1,21.55,6.81,0.05,
647,0.1,23.68,7.49,0.05,
648,0.1,26.2,8.28,0.05,
649,0.1,22.61,7.15,0.05,
650,0.1,22.18,7.01,0.05,
651,0.1,21.97,6.95,0.05,
652,0.1,21.67,6.85,0.05,
653,0.1,21.5,6.80,0.05,
654,0.1,21.53,6.81,0.05,
655,0.1,21.57,6.82,0.05,
656,0.1,21.69,6.86,0.05,
657,0.1,21.72,6.87,0.05,
658,0.1,21.57,6.82,0.05,
659,0.1,21.79,6.89,0.05,
660,0.1,21.86,6.91,0.05,
661,0.1,21.93,6.93,0.05,
662,0.1,21.92,6.93,0.05,
663,0.1,22.27,7.04,0.05,
664,0.1,22.24,7.03,0.05,
665,0.1,21.54,6.81,0.05,
666,0.1,21.62,6.83,0.05,
667,0.1,21.64,6.84,0.05,
668,0.1,21.58,6.82,0.05,
669,0.1,21.44,6.78,0.05,
670,0.1,21.41,6.77,0.05,
671,0.1,21.91,6.93,0.05,
672,0.1,21.79,6.89,0.05,
673,0.1,21.7,6.86,0.05,
674,0.1,21.76,6.88,0.05,
675,0.1,21.79,6.89,0.05,
676,0.1,21.86,6.91,0.05,
677,0.1,21.82,6.90,0.05,
678,0.1,21.91,6.93,0.05,
679,0.1,22.03,6.96,0.05,
680,0.1,21.81,6.89,0.05,
681,0.1,21.81,6.89,0.05,
682,0.1,22.02,6.96,0.05,
683,0.1,21.97,6.95,0.05,
684,0.1,21.77,6.88,0.05,
685,0.1,21.71,6.86,0.05,
686,0.1,21.77,6.88,0.05,
687,0.1,22.16,7.01,0.05,
688,0.1,22.17,7.01,0.05,
689,0.1,22.25,7.03,0.05,
690,0.1,22.17,7.01,0.05,
691,0.1,21.86,6.91,0.05,
692,0.1,22.11,6.99,0.05,
693,0.1,21.78,6.89,0.05,
694,0.1,21.82,6.90,0.05,
695,0.1,21.83,6.90,0.05,
696,0.1,21.94,6.94,0.05,
697,0.1,22.03,6.96,0.05,
698,0.1,21.93,6.93,0.05,
699,0.1,21.81,6.89,0.05,
700,0.1,22.1,6.99,0.05,
