lambda [nm],dlambda [nm],theta [deg],I [nA],dI [nA],
300,0.1,23.43,7.41,0.05,94.9
301,0.1,23.49,7.43,0.05,
302,0.1,23.81,7.53,0.05,
303,0.1,23.79,7.52,0.05,
304,0.1,23.64,7.47,0.05,
305,0.1,23.67,7.48,0.05,
306,0.1,23.63,7.47,0.05,
307,0.1,24.27,7.67,0.05,
308,0.1,24.23,7.66,0.05,
309,0.1,24.13,7.63,0.05,
310,0.1,24.2,7.65,0.05,
311,0.1,24.09,7.62,0.05,
312,0.1,24.08,7.61,0.05,
313,0.1,24.46,7.73,0.05,
314,0.1,24.47,7.74,0.05,
315,0.1,24.5,7.74,0.05,
316,0.1,24.54,7.76,0.05,
317,0.1,24.78,7.83,0.05,
318,0.1,24.69,7.81,0.05,
319,0.1,24.5,7.74,0.05,
320,0.1,24.55,7.76,0.05,
321,0.1,24.4,7.71,0.05,
322,0.1,24.61,7.78,0.05,
323,0.1,25.11,7.94,0.05,
324,0.1,25.18,7.96,0.05,
325,0.1,25.18,7.96,0.05,
326,0.1,25.17,7.96,0.05,
327,0.1,25.08,7.93,0.05,
328,0.1,25.37,8.02,0.05,
329,0.1,25.31,8.00,0.05,
330,0.1,25.56,8.08,0.05,
331,0.1,25.2,7.97,0.05,
332,0.1,25.69,8.12,0.05,
333,0.1,25.75,8.14,0.05,
334,0.1,25.81,8.16,0.05,
335,0.1,25.78,8.15,0.05,
336,0.1,25.74,8.14,0.05,
337,0.1,25.74,8.14,0.05,
338,0.1,26,8.22,0.05,
339,0.1,25.755,8.14,0.05,
340,0.1,25.85,8.17,0.05,
341,0.1,26,8.22,0.05,
342,0.1,26.12,8.26,0.05,
343,0.1,26.04,8.23,0.05,
344,0.1,26.21,8.29,0.05,
345,0.1,26.3,8.31,0.05,
346,0.1,26.83,8.48,0.05,
347,0.1,26.82,8.48,0.05,
348,0.1,26.95,8.52,0.05,
349,0.1,26.95,8.52,0.05,
350,0.1,27.04,8.55,0.05,
351,0.1,27.09,8.56,0.05,
352,0.1,27.26,8.62,0.05,
353,0.1,27.1,8.57,0.05,
354,0.1,27.2,8.60,0.05,
355,0.1,27.25,8.61,0.05,
356,0.1,27.45,8.68,0.05,
357,0.1,27.4,8.66,0.05,
358,0.1,27.7,8.76,0.05,
359,0.1,27.59,8.72,0.05,
360,0.1,27.64,8.74,0.05,
361,0.1,27.94,8.83,0.05,
362,0.1,27.9,8.82,0.05,
363,0.1,27.62,8.73,0.05,
364,0.1,27.6,8.72,0.05,
365,0.1,27.99,8.85,0.05,
366,0.1,28.35,8.96,0.05,
367,0.1,28.23,8.92,0.05,
368,0.1,28.95,9.15,0.05,
369,0.1,28.87,9.13,0.05,
370,0.1,28.72,9.08,0.05,
371,0.1,28.35,8.96,0.05,
372,0.1,28.71,9.08,0.05,
373,0.1,28.91,9.14,0.05,
374,0.1,28.91,9.14,0.05,
375,0.1,28.99,9.16,0.05,
376,0.1,29.74,9.40,0.05,
377,0.1,29.69,9.39,0.05,
378,0.1,29.78,9.41,0.05,
379,0.1,29.26,9.25,0.05,
380,0.1,29.16,9.22,0.05,
381,0.1,29.41,9.30,0.05,
382,0.1,28.95,9.15,0.05,
383,0.1,29.17,9.22,0.05,
384,0.1,29.46,9.31,0.05,
385,0.1,29.34,9.28,0.05,
386,0.1,29.75,9.40,0.05,
387,0.1,30.5,9.64,0.05,
388,0.1,31.06,9.82,0.05,
389,0.1,30.76,9.72,0.05,
390,0.1,30.27,9.57,0.05,
391,0.1,30.08,9.51,0.05,
392,0.1,30.36,9.60,0.05,
393,0.1,30.37,9.60,0.05,
394,0.1,30.67,9.70,0.05,
395,0.1,30.96,9.79,0.05,
396,0.1,32.89,10.40,0.05,
397,0.1,32.85,10.38,0.05,
398,0.1,31.96,10.10,0.05,
399,0.1,31.04,9.81,0.05,
400,0.1,30.82,9.74,0.05,
401,0.1,30.33,9.59,0.05,
402,0.1,30.42,9.62,0.05,
403,0.1,30.51,9.64,0.05,
404,0.1,30.24,9.56,0.05,
405,0.1,30.84,9.75,0.05,
406,0.1,32.4,10.24,0.05,
407,0.1,34.09,10.78,0.05,
408,0.1,33.96,10.74,0.05,
409,0.1,34.16,10.80,0.05,
410,0.1,33.8,10.68,0.05,
411,0.1,32.25,10.19,0.05,
412,0.1,30.71,9.71,0.05,
413,0.1,30.96,9.79,0.05,
414,0.1,30.89,9.77,0.05,
415,0.1,31.06,9.82,0.05,
416,0.1,30.57,9.66,0.05,
417,0.1,30.55,9.66,0.05,
418,0.1,30.58,9.67,0.05,
419,0.1,30.64,9.69,0.05,
420,0.1,31.31,9.90,0.05,
421,0.1,31.16,9.85,0.05,
422,0.1,31.28,9.89,0.05,
423,0.1,31.47,9.95,0.05,
