f_in[Hz],f_out[Hz],V_in[V],V_out[V],lag[us],V_scale_in[V],V_scale_out[V],t_scale[us],noise[V]
2.00E+01,2.00E+01,14.200,0.112,11000.000,5.000,0.050,25000.000,0.0260
1.00E+02,1.00E+02,14.600,0.400,2500.000,5.000,0.200,2500.000,0.0320
1.00E+03,1.00E+03,14.400,3.760,200.000,5.000,2.000,250.000,0.0320
1.00E+04,1.00E+04,14.400,13.200,6.000,5.000,5.000,25.000,0.0320
1.00E+05,1.00E+05,14.400,14.400,0.200,5.000,10.000,2.500,0.0320
1.00E+06,1.00E+06,14.000,13.600,0.030,5.000,5.000,0.250,0.0320
1.00E+07,1.00E+07,8.800,8.800,0.004,5.000,5.000,0.025,0.0320
