f_in[Hz],f_out[Hz],V_in[V],V_out[V],lag[us],V_scale_in[V],V_scale_out[V],t_scale[us],noise[V]
2.00E+01,2.00E+01,14.000,14.000,200.000,5.000,5.000,10000.000,0.0184
1.00E+02,1.00E+02,14.600,13.800,100.000,5.000,5.000,5000.000,0.0184
1.00E+03,1.00E+03,14.400,13.600,50.000,5.000,5.000,250.000,0.0184
1.00E+04,1.00E+04,14.400,5.200,20.000,5.000,5.000,50.000,0.0184
1.00E+05,9.99E+04,14.400,0.544,2.400,5.000,0.200,5.000,0.0184
1.00E+06,9.69E+05,14.200,0.080,0.300,5.000,0.050,0.050,0.0184
9.98E+06,4.79E+06,11.800,0.038,0.030,5.000,0.020,0.025,0.0184
