f_in[Hz],f_out[Hz],V_in[V],V_out[V],lag[us],V_scale_in[V],V_scale_out[V],t_scale[us],noise[V]
2.00E+01,2.00E+01,14.200,14.400,-800.000,5.000,10.000,10000.000,0.0000
1.00E+02,1.00E+02,14.000,14.000,-200.000,5.000,10.000,2500.000,0.0000
1.00E+03,1.00E+03,12.200,6.800,-60.000,5.000,10.000,250.000,0.0000
1.00E+04,1.00E+04,10.000,9.200,4.400,5.000,5.000,25.000,0.0000
1.00E+05,1.00E+05,9.800,9.600,0.000,5.000,5.000,5.000,0.0000
1.00E+06,1.00E+06,9.400,9.400,0.010,5.000,5.000,0.250,0.0000
1.00E+07,1.00E+07,5.600,5.600,0.004,5.000,2.000,0.025,0.0000
2.00E+03,2.00E+03,11.600,5.520,12.000,5.000,2.000,250.000,0.0000
4.00E+03,4.00E+03,10.600,7.200,12.000,5.000,2.000,100.000,0.0000
